"","PC1","PC2"
"TCGA.V1.A9O7.01A.21R.A41O.07",9.79261049200173,-3.09180449246825
"TCGA.EJ.7123.01A.11R.1965.07",-3.58789705432238,-0.502736111640446
"TCGA.G9.6353.01A.11R.1965.07",6.13738446950834,3.31429831534977
"TCGA.VN.A88Q.01A.11R.A352.07",-5.09492136000764,-9.52118327936204
"TCGA.CH.5753.01A.11R.1580.07",-6.30987474459284,-7.15087305176346
"TCGA.V1.A9ZI.01A.11R.A41O.07",0.567278796420883,2.78143240095227
"TCGA.HC.7821.01A.12R.2118.07",-2.17234351198423,-4.03832688231135
"TCGA.G9.6339.01A.12R.A311.07",-1.50404550337155,3.4978804124758
"TCGA.CH.5771.01A.21R.1580.07",12.1021049876442,3.90411740311786
"TCGA.CH.5789.01A.11R.1580.07",6.79975840352093,2.35498968933837
"TCGA.KK.A6E3.01A.21R.A30B.07",6.47634564824671,3.52408041743581
"TCGA.XK.AAJR.01A.11R.A41O.07",-1.81550242604679,-0.449367769082528
"TCGA.HC.A8CY.01A.11R.A36G.07",-6.4619989495943,-4.19478737548518
"TCGA.EJ.5494.01A.01R.1580.07",-1.2555863292491,4.32894975479903
"TCGA.EJ.A65G.01A.21R.A29R.07",-3.01136704398943,5.21950543631168
"TCGA.EJ.A46H.01A.31R.A26U.07",11.8369378276094,-5.2632606564005
"TCGA.VN.A88K.01A.11R.A352.07",-3.40583232111816,-2.71163683105978
"TCGA.CH.5792.01A.11R.1580.07",9.87725493791289,6.38619772947872
"TCGA.M7.A71Y.01A.22R.A32O.07",6.51385136507804,-2.53797980290624
"TCGA.M7.A720.01A.12R.A32O.07",6.77553976734434,-3.58370029173666
"TCGA.CH.5750.01A.11R.1580.07",-4.20550673530319,-0.155191906142438
"TCGA.ZG.A9L1.01A.11R.A41O.07",-6.01715647845492,-6.49258482552765
"TCGA.HC.A76W.01A.11R.A33R.07",7.69472160273733,-3.36717654867837
"TCGA.HC.7742.01A.11R.2118.07",1.30469189105339,2.1280970327646
"TCGA.HC.7212.01A.11R.2118.07",-10.2650900893666,-11.1050533989119
"TCGA.CH.5791.01A.11R.1580.07",-5.28775148607059,-2.46794602149983
"TCGA.HI.7170.01A.11R.2118.07",13.8756402700873,5.07003213441139
"TCGA.EJ.A46D.01A.21R.A32Y.07",-0.531082318672045,1.02355831508773
"TCGA.YL.A8HM.01A.11R.A36G.07",-9.04690018696031,2.69864057626828
"TCGA.V1.A9OT.01A.11R.A41O.07",0.9417497548964,5.04346060761378
"TCGA.YL.A8SR.01B.11R.A37L.07",-2.28850495198518,1.08942362365352
"TCGA.V1.A9ZG.01A.11R.A41O.07",1.4263169264188,-4.29628576764112
"TCGA.ZG.A9LN.01A.11R.A41O.07",8.08002248000109,0.207929744861829
"TCGA.EJ.5497.01A.02R.1580.07",1.95175332227167,-3.51794668921215
"TCGA.EJ.A7NG.01A.31R.A33R.07",10.5094372211375,-1.73054817507127
"TCGA.ZG.A8QY.01A.11R.A37L.07",1.45981642818825,3.53317227071202
"TCGA.EJ.5507.01A.01R.1580.07",-4.34824740423904,-1.39479217483856
"TCGA.G9.6379.01A.11R.A31N.07",8.4542100084629,3.81948807598099
"TCGA.EJ.A65M.01A.11R.A29R.07",0.799296021191651,9.25444098244448
"TCGA.YL.A8SL.01B.21R.A37L.07",-11.1392672921313,-5.87879318639987
"TCGA.EJ.A65J.01A.11R.A311.07",-7.60136581141298,2.067967791492
"TCGA.J4.8200.01A.11R.A29R.07",4.37338911531928,-1.18844525517486
"TCGA.FC.7708.01A.11R.2118.07",8.15085056321454,-2.55143141529144
"TCGA.EJ.5530.01A.01R.1580.07",-3.00728402185995,-4.40685467299813
"TCGA.J4.A67S.01A.11R.A30B.07",-4.08877765614766,-0.562824056015583
"TCGA.FC.A8O0.01A.41R.A37L.07",6.50634536098041,1.92440710762775
"TCGA.FC.A6HD.01A.11R.A31N.07",-10.8368771375181,2.35039832791772
"TCGA.G9.7510.01A.11R.2263.07",6.02129309870382,4.08011352489826
"TCGA.CH.5772.01A.11R.1580.07",-6.30023261307982,3.47160626825604
"TCGA.MG.AAMC.01A.11R.A41O.07",-12.5028052033621,1.68811241503064
"TCGA.KK.A8I6.01A.11R.A36G.07",-3.95719221481595,-2.76429132405054
"TCGA.M7.A725.01A.12R.A32O.07",-6.87226311679781,-7.32693596349325
"TCGA.HC.7075.01A.11R.1965.07",-7.30292484637763,1.93841126830691
"TCGA.HC.7233.01A.11R.2118.07",3.52561053558203,-0.206971600305885
"TCGA.CH.5794.01A.11R.1580.07",-3.89217718242238,0.353784467036826
"TCGA.HC.7744.01A.11R.2118.07",-8.98596409455316,-3.53344236295023
"TCGA.XQ.A8TB.01A.11R.A36G.07",2.24299833109162,-7.91072089020471
"TCGA.EJ.8470.01A.11R.2403.07",1.61309279136883,0.163705204395981
"TCGA.VN.A88M.01A.11R.A352.07",-8.94313951048686,2.20694831642387
"TCGA.J4.8198.01A.11R.2263.07",-0.27588224625672,-9.16245686247677
"TCGA.HC.7747.01A.11R.2118.07",1.97050586278735,4.68083721615654
"TCGA.HC.A8D0.01A.11R.A36G.07",6.01147461763582,-3.36931969326254
"TCGA.G9.6347.01A.11R.A31N.07",13.3551060756264,4.64436680515154
"TCGA.HC.A6AP.01A.11R.A30B.07",5.2501465370369,4.70573396934201
"TCGA.VN.A943.01A.11R.A41O.07",-18.0555376438092,5.32364597597287
"TCGA.J4.A67R.01A.21R.A30B.07",8.4089423493637,-1.67506349633616
"TCGA.KK.A8IL.01A.11R.A36G.07",5.58322375218229,-0.0385548187796311
"TCGA.V1.A8WW.01A.11R.A37L.07",-0.331242441054265,-1.6210510718158
"TCGA.HC.7745.01A.11R.2118.07",8.69482550020188,1.49800285573784
"TCGA.HC.A48F.01A.11R.A250.07",-6.09065981095629,-4.44661330577739
"TCGA.ZG.A9L9.01A.11R.A41O.07",3.22617570150746,3.12468171056691
"TCGA.HC.7230.01A.11R.2118.07",-11.5940990332915,-3.87684912467147
"TCGA.XJ.A9DQ.01A.11R.A37L.07",4.58017192939354,2.56344499495397
"TCGA.CH.5754.01A.11R.1580.07",-0.596480475009241,1.3856994151336
"TCGA.XA.A8JR.01A.11R.A36G.07",1.82901846219353,4.43810838184425
"TCGA.V1.A8MF.01A.11R.A36G.07",2.37670819444827,4.18919794038722
"TCGA.H9.A6BY.01A.11R.A30B.07",-9.73084281667926,-3.99989319137416
"TCGA.X4.A8KS.01A.12R.A36G.07",4.13078055283012,7.75597913439079
"TCGA.M7.A724.01A.12R.A32O.07",-16.367065099124,5.79841465805449
"TCGA.HC.7738.01A.11R.2118.07",-5.92424480289347,4.82754614980678
"TCGA.EJ.7327.01A.11R.2118.07",0.87795719128635,-7.89741815268686
"TCGA.V1.A9ZR.01A.11R.A41O.07",8.25869068444573,-2.62416493385336
"TCGA.KK.A7B4.01A.11R.A32O.07",-3.15837681584653,-7.15382056633665
"TCGA.J9.A8CK.01A.11R.A352.07",6.75707052918224,-0.234139295643686
"TCGA.V1.A8MM.01A.11R.A37L.07",-0.853464815123597,6.95358314474524
"TCGA.HC.A631.01A.11R.A29R.07",-4.34242523146819,-3.27267790251791
"TCGA.V1.A8WV.01A.11R.A37L.07",4.96241078147875,0.575495161891588
"TCGA.FC.A66V.01A.21R.A30B.07",4.5258823415967,1.45414554735095
"TCGA.VP.A878.01A.31R.A352.07",7.44769091866359,3.32330927248467
"TCGA.KK.A6E1.01A.11R.A311.07",-9.50245551643116,-1.55732116429574
"TCGA.HC.A6AO.01A.11R.A30B.07",-7.78571380561551,1.37420838916905
"TCGA.H9.A6BX.01A.31R.A311.07",16.6195878530276,-0.538138565903362
"TCGA.KK.A8IJ.01A.11R.A352.07",-3.07891828615479,0.24528005720391
"TCGA.HC.7213.01A.11R.2118.07",-4.66468895180081,-3.56949836962257
"TCGA.XK.AAIW.01A.11R.A41O.07",-13.8524453619361,-3.82323423918116
"TCGA.EJ.5514.01A.01R.1580.07",0.686148764562461,-2.26292541265713
"TCGA.KK.A7AW.01A.11R.A32O.07",-3.3651103420485,10.4529764218534
"TCGA.ZG.A9L4.01A.11R.A41O.07",4.61427260859677,-4.84520064965768
"TCGA.EJ.5531.01A.01R.1580.07",6.07036683968107,5.60166272602484
"TCGA.VN.A88P.01A.11R.A352.07",-0.106624198668786,2.44978168554695
"TCGA.ZG.A9LS.01A.12R.A41O.07",10.2827185951505,-0.349884069218582
"TCGA.J4.A67T.01A.11R.A311.07",1.39973048292179,0.644937481558022
"TCGA.KK.A6E0.01A.11R.A311.07",-6.86626131216288,6.01864521228318
"TCGA.EJ.A46F.01A.31R.A250.07",-10.8843423746951,3.85968882036994
"TCGA.CH.5790.01A.11R.1580.07",-6.36413561784353,-4.3431886346489
"TCGA.EJ.A6RA.01A.11R.A33R.07",2.48232317801996,5.94335264702161
"TCGA.EJ.7331.01A.11R.2118.07",4.75226518627654,-1.96153649348481
"TCGA.YL.A8SQ.01B.11R.A37L.07",-1.11733818506306,0.151702910704966
"TCGA.XK.AAJT.01A.11R.A41O.07",7.88285250682999,3.67106996056946
"TCGA.G9.6354.01A.11R.A311.07",-6.72173306454976,3.65390374339329
"TCGA.EJ.5515.01A.01R.1580.07",1.85455266971672,2.03756619813359
"TCGA.EJ.5521.01A.01R.1580.07",-0.196930212588137,7.14615629495522
"TCGA.VN.A88L.01A.11R.A352.07",2.7372859821691,-4.39527156875034
"TCGA.J4.AATZ.01A.11R.A41O.07",-6.37400374939547,-3.29210076621037
"TCGA.2A.A8W1.01A.11R.A37L.07",-17.4654048500709,0.0105793469927283
"TCGA.HC.8266.01A.11R.2263.07",10.2776389760846,-2.64870566135535
"TCGA.YL.A9WX.01A.21R.A41O.07",7.04351633031679,-5.45833712285322
"TCGA.YL.A8S9.01A.11R.A37L.07",-17.5277058057459,-1.58553526915813
"TCGA.KK.A59X.01A.11R.A29R.07",-3.2417882015292,6.92317234175817
"TCGA.EJ.7791.01A.11R.2118.07",9.25711887270269,0.804947939301456
"TCGA.VN.A88O.01A.11R.A352.07",-3.13845999786079,6.52755719485813
"TCGA.EJ.5512.01A.01R.1580.07",1.84479040389039,4.47917957318744
"TCGA.KK.A8I5.01A.11R.A36G.07",-1.29417820512531,-0.836886766675728
"TCGA.2A.A8VT.01A.11R.A37L.07",-4.3427293833473,-8.91451299022069
"TCGA.V1.A8X3.01A.11R.A37L.07",1.41372910941701,-3.28288133775343
