"","x"
"677","ENSG00000065268"
"678","ENSG00000065308"
"679","ENSG00000065357"
"680","ENSG00000065361"
"681","ENSG00000065413"
"682","ENSG00000065427"
"683","ENSG00000065457"
"684","ENSG00000065485"
"685","ENSG00000065491"
"686","ENSG00000065518"
"687","ENSG00000065526"
"688","ENSG00000065534"
"689","ENSG00000065548"
"690","ENSG00000065559"
"691","ENSG00000065600"
"692","ENSG00000065613"
"693","ENSG00000065615"
"694","ENSG00000065621"
"695","ENSG00000065665"
"696","ENSG00000065717"
"697","ENSG00000065802"
"698","ENSG00000065809"
"699","ENSG00000065882"
"700","ENSG00000065883"
"701","ENSG00000065911"
"702","ENSG00000065923"
"703","ENSG00000065970"
"704","ENSG00000065978"
"705","ENSG00000065989"
"706","ENSG00000066027"
"707","ENSG00000066044"
"708","ENSG00000066056"
"709","ENSG00000066084"
"710","ENSG00000066117"
"711","ENSG00000066135"
"712","ENSG00000066136"
"713","ENSG00000066322"
"714","ENSG00000066336"
"715","ENSG00000066379"
"716","ENSG00000066382"
"717","ENSG00000066422"
"718","ENSG00000066427"
"719","ENSG00000066455"
"720","ENSG00000066468"
"721","ENSG00000066557"
"722","ENSG00000066583"
"723","ENSG00000066629"
"724","ENSG00000066651"
"725","ENSG00000066654"
"726","ENSG00000066697"
"727","ENSG00000066739"
"728","ENSG00000066777"
"729","ENSG00000066827"
"730","ENSG00000066855"
"731","ENSG00000066926"
"732","ENSG00000066933"
"733","ENSG00000067048"
"734","ENSG00000067057"
"735","ENSG00000067064"
"736","ENSG00000067066"
"737","ENSG00000067082"
"738","ENSG00000067113"
"739","ENSG00000067141"
"740","ENSG00000067167"
"741","ENSG00000067177"
"742","ENSG00000067182"
"743","ENSG00000067208"
"744","ENSG00000067221"
"745","ENSG00000067225"
"746","ENSG00000067248"
"747","ENSG00000067334"
"748","ENSG00000067365"
"749","ENSG00000067369"
"750","ENSG00000067533"
"751","ENSG00000067560"
"752","ENSG00000067596"
"753","ENSG00000067606"
"754","ENSG00000067646"
"755","ENSG00000067704"
"756","ENSG00000067829"
"757","ENSG00000067836"
"758","ENSG00000067840"
"759","ENSG00000067900"
"760","ENSG00000067955"
"761","ENSG00000067992"
"762","ENSG00000068001"
"763","ENSG00000068024"
"764","ENSG00000068028"
"765","ENSG00000068078"
"766","ENSG00000068079"
"767","ENSG00000068097"
"768","ENSG00000068120"
"769","ENSG00000068137"
"770","ENSG00000068305"
"771","ENSG00000068308"
"772","ENSG00000068323"
"773","ENSG00000068354"
"774","ENSG00000068366"
"775","ENSG00000068383"
"776","ENSG00000068394"
"777","ENSG00000068400"
"778","ENSG00000068438"
"779","ENSG00000068650"
"780","ENSG00000068654"
"781","ENSG00000068697"
"782","ENSG00000068724"
"783","ENSG00000068745"
"784","ENSG00000068784"
"785","ENSG00000068796"
"786","ENSG00000068831"
"787","ENSG00000068878"
"788","ENSG00000068885"
"789","ENSG00000068903"
"790","ENSG00000068912"
"791","ENSG00000068971"
"792","ENSG00000069020"
"793","ENSG00000069122"
"794","ENSG00000069188"
"795","ENSG00000069248"
"796","ENSG00000069275"
"797","ENSG00000069329"
"798","ENSG00000069345"
"799","ENSG00000069399"
"800","ENSG00000069424"
"801","ENSG00000069509"
"802","ENSG00000069535"
"803","ENSG00000069667"
"804","ENSG00000069702"
"805","ENSG00000069849"
"806","ENSG00000069869"
"807","ENSG00000069943"
"808","ENSG00000069956"
"809","ENSG00000069966"
"810","ENSG00000069974"
"811","ENSG00000069998"
"812","ENSG00000070010"
"813","ENSG00000070018"
"814","ENSG00000070047"
"815","ENSG00000070061"
"816","ENSG00000070081"
"817","ENSG00000070087"
"818","ENSG00000070159"
"819","ENSG00000070214"
"820","ENSG00000070269"
"821","ENSG00000070366"
"822","ENSG00000070367"
"823","ENSG00000070371"
"824","ENSG00000070404"
"825","ENSG00000070413"
"826","ENSG00000070423"
"827","ENSG00000070444"
"828","ENSG00000070476"
