"","PC1","PC2"
"TCGA.EJ.5494.01A.01R.1580.07",728.112248262144,-42.4608874151046
"TCGA.EJ.A65G.01A.21R.A29R.07",-105.546816079452,-20.12310015842
"TCGA.EJ.A46H.01A.31R.A26U.07",1029.67528032208,290.973171568085
"TCGA.VN.A88K.01A.11R.A352.07",408.645614029495,4.37028023542451
"TCGA.CH.5792.01A.11R.1580.07",811.938749980644,8.22621473471853
"TCGA.M7.A71Y.01A.22R.A32O.07",-145.419216814871,68.2268179525043
"TCGA.M7.A720.01A.12R.A32O.07",237.754047388217,24.6995203370723
"TCGA.CH.5750.01A.11R.1580.07",595.67550344582,-152.003724847134
"TCGA.ZG.A9L1.01A.11R.A41O.07",318.724441397675,84.3877146586414
"TCGA.HC.A76W.01A.11R.A33R.07",-898.137569558719,140.448800790031
"TCGA.HC.7742.01A.11R.2118.07",615.265455956485,78.1166100006597
"TCGA.HC.7212.01A.11R.2118.07",973.178423822369,-178.989550775997
"TCGA.CH.5791.01A.11R.1580.07",847.076901050514,-160.827011522123
"TCGA.HI.7170.01A.11R.2118.07",-61.6081967537466,569.899800515974
"TCGA.EJ.A46D.01A.21R.A32Y.07",172.241193742086,73.4690781215691
"TCGA.YL.A8HM.01A.11R.A36G.07",-239.614067966435,-390.773597128426
"TCGA.V1.A9OT.01A.11R.A41O.07",-2185.63983187427,142.481322112432
"TCGA.YL.A8SR.01B.11R.A37L.07",46.0884322199591,-51.1266853002279
"TCGA.V1.A9ZG.01A.11R.A41O.07",442.98626042831,-75.2646118346167
"TCGA.ZG.A9LN.01A.11R.A41O.07",73.97992944654,74.8671041123761
"TCGA.EJ.5497.01A.02R.1580.07",969.084974871361,-35.8916847210384
"TCGA.EJ.A7NG.01A.31R.A33R.07",247.642752912143,136.733932172486
"TCGA.ZG.A8QY.01A.11R.A37L.07",-210.036511240106,9.39613720449368
"TCGA.EJ.5507.01A.01R.1580.07",1249.35625919902,-99.7084349781998
"TCGA.G9.6379.01A.11R.A31N.07",-2413.17429873038,83.7528528829844
"TCGA.EJ.A65M.01A.11R.A29R.07",-696.442456661201,-96.896557453692
"TCGA.YL.A8SL.01B.21R.A37L.07",663.780710996252,-182.598447437057
"TCGA.EJ.A65J.01A.11R.A311.07",972.083025867786,-99.9596594594971
"TCGA.J4.8200.01A.11R.A29R.07",601.650358080095,512.702439058599
"TCGA.FC.7708.01A.11R.2118.07",859.8389012757,40.9595435596768
"TCGA.EJ.5530.01A.01R.1580.07",996.440604541036,-2.03984852130918
"TCGA.J4.A67S.01A.11R.A30B.07",-766.122244645436,-80.4002164728343
"TCGA.FC.A8O0.01A.41R.A37L.07",-276.65544472123,53.8612603571305
"TCGA.FC.A6HD.01A.11R.A31N.07",-2490.04181164137,-460.128251724788
"TCGA.G9.7510.01A.11R.2263.07",126.288754634971,41.9913833129619
"TCGA.CH.5772.01A.11R.1580.07",484.610120443506,-14.7901012078283
"TCGA.MG.AAMC.01A.11R.A41O.07",-847.614849275702,-96.0639420177989
"TCGA.KK.A8I6.01A.11R.A36G.07",558.323399070197,-92.1535606948294
"TCGA.M7.A725.01A.12R.A32O.07",143.098009214032,-295.078942464416
"TCGA.HC.7075.01A.11R.1965.07",549.656169958608,-54.9298968007515
"TCGA.HC.7233.01A.11R.2118.07",695.084582871375,-78.4568240982838
"TCGA.CH.5794.01A.11R.1580.07",908.375153196663,-142.300838235858
"TCGA.HC.7744.01A.11R.2118.07",390.989643476211,-298.953676964153
"TCGA.XQ.A8TB.01A.11R.A36G.07",143.9973866836,-106.612106368585
"TCGA.EJ.8470.01A.11R.2403.07",812.910627230372,-93.200773637335
"TCGA.VN.A88M.01A.11R.A352.07",-1192.13646327326,-100.864956785352
"TCGA.J4.8198.01A.11R.2263.07",392.570506954044,-65.967656249233
"TCGA.HC.7747.01A.11R.2118.07",82.1708518446711,-104.836796330747
"TCGA.HC.A8D0.01A.11R.A36G.07",-382.420805290449,-48.9537862063838
"TCGA.G9.6347.01A.11R.A31N.07",-2743.87646913188,1034.33384592839
